Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate
Jamaica,4.43,5138.45,77.2,0.0,17.2,0.0,0.0,4.5,1.0,0.0,0.62,7.94,0.0,2005,77909.0,1167.0,0.15,23.5,2676868.0,0.0,0.0,88.0665054321289,1447021.0,1292979.0,50.45466995239258,52.81,2.0
Japan,7.99,33098.55,1.6,0.2,57.0,0.04,36.2,0.4,4.7,0.0,0.75,12.31,95511.0,2005,3504905.0,642.0,0.29,42.4,127798376.0,0.0,0.0,100.0,109856670.0,17916330.0,50.995487213134766,85.98,19.3
Jordan,0.66,4341.19,2.2,97.2,0.0,0.1,0.4,0.0,0.0,0.0,0.2,8.49,764.0,2005,213919.0,187.0,0.23,19.4,5678541.0,121.0,2.130829028090138e-05,99.10089111328124,4582818.0,1182821.0,48.4082145690918,79.49,3.4
Kazakhstan,9.33,7155.34,24.8,70.4,4.2,0.01,0.2,0.3,0.1,0.0,0.1,10.99,24730.0,2005,544918.0,2302.0,4.14,27.7,15656255.0,35.0,2.235528228174618e-06,100.0,8552467.0,6594562.0,51.83176040649414,56.46,39.6
Kenya,3.01,1195.77,84.8,9.7,2.5,0.1,0.0,1.7,1.2,0.0,0.43,5.82,0.0,2005,1236653.0,1669.0,0.25,16.4,35843016.0,307.0,8.565127443516472e-06,24.58838653564453,7938446.0,28686451.0,50.38340759277344,21.67,13.1
Kiribati,2.16,1529.18,97.0,0.2,0.8,0.0,0.0,0.0,2.0,0.0,0,7.33,0.0,2005,2402.0,6.0,0.82,19.0,98181.0,0.0,0.0,69.67640686035156,40206.0,52113.0,50.73278427124024,43.55,28.9
Kuwait,0.02,39849.6,14.3,74.1,0.0,8.5,2.8,0.0,0.3,0.0,0.31,6.11,0.0,2005,95924.0,52.0,0.42,27.4,2235409.0,12.0,5.368145158223842e-06,100.0,2270196.0,0.0,40.95333480834961,100.0,3.3
Kyrgyzstan,11.19,820.72,11.4,88.0,0.4,0.01,0.0,0.1,0.0,0.0,0.21,10.63,1212.0,2005,164088.0,429.0,1.91,21.8,5193112.0,0.0,0.0,99.44230651855467,1821882.0,3340718.0,50.432247161865234,35.29,14.0
Laos,4.37,1172.22,1.5,0.0,0.9,0.01,66.0,30.7,0.7,0.0,0.04,4.23,0.0,2005,132195.0,463.0,0.28,18.4,5852969.0,0.0,0.0,57.20000076293945,1563650.0,4188025.0,50.51982116699219,27.19,8.7
Latvia,11.96,10527.91,55.8,0.1,43.8,0.0,0.0,0.0,0.2,0.0,0.62,12.25,7517.0,2005,111912.0,253.0,2.39,38.9,2233165.0,0.0,0.0,100.0,1522383.0,716416.0,54.15182876586914,68.0,23.4
Lebanon,2.31,6682.65,47.3,55.3,0.3,0.0,0.2,0.0,0.0,0.0,0.32,7.52,15000.0,2005,195006.0,190.0,1.43,25.0,4643052.0,25.0,5.384389405933856e-06,99.27410888671876,4070396.0,628365.0,49.12369537353516,86.63,3.4
Lesotho,5.37,835.61,96.7,0.1,3.1,0.0,0.0,0.1,0.0,0.0,0.4,6.04,0.0,2005,86299.0,918.0,0.35,19.1,1977428.0,0.0,0.0,9.667811393737791,444116.0,1551999.0,51.69596862792969,22.25,39.5
Liberia,6.05,553.57,85.9,20.0,1.4,0.0,0.0,0.5,0.1,0.0,0.28,3.78,0.0,2005,116974.0,266.0,0.17,17.5,3266326.0,3.0,9.184631295222828e-07,,1481974.0,1736140.0,50.00195693969727,46.05,9.6
Libya,0.08,7825.22,2.7,96.6,0.2,0.0,0.3,0.0,0.0,0.0,0.04,6.44,0.0,2005,230938.0,211.0,1.79,22.5,5837994.0,1.0,1.712917142429403e-07,90.23028564453124,4469572.0,1329043.0,48.44148254394531,77.08,4.0
Lithuania,16.1,9766.49,89.8,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.73,11.87,7850.0,2005,170125.0,331.0,2.18,37.6,3373536.0,0.0,0.0,100.0,2213967.0,1108561.0,53.54507446289063,66.64,39.7
Luxembourg,13.58,101222.05,70.4,2.3,26.8,0.0,0.0,0.0,0.3,0.1,0.82,11.44,13537.0,2005,18194.0,7.0,2.97,37.2,464868.0,0.0,0.0,100.0,402818.0,62340.0,50.65283584594727,86.6,10.9
Madagascar,1.53,471.19,85.3,3.0,6.9,0.05,0.0,4.5,0.1,0.0,0.28,4.48,6500.0,2005,605207.0,1650.0,0.27,16.5,18792174.0,2.0,1.0642728191001211e-07,15.996761322021484,5283543.0,13053179.0,50.20651626586914,28.81,11.2
