Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female
Kyrgyzstan,10.08,966.15,11.4,88.0,0.4,0.01,0.0,0.1,0.0,0.0,0.21,11.03,1640.0,2010,291.5,596.0,1.82,22.6,5483781.0,424.0,7.73189155438556e-05,99.0,1923436.0,3524464.0,50.580379486083984
Laos,7.1,1586.2,1.5,0.0,0.9,0.01,66.0,30.7,0.7,0.0,0.04,4.57,0.0,2010,291.5,463.0,0.26,20.2,6323425.0,0.0,0.0,70.14994049072266,1878750.0,4370418.0,50.40250015258789
Latvia,11.63,10963.68,55.8,0.1,43.8,0.0,0.0,0.0,0.2,0.0,0.62,12.56,2500.0,2010,291.5,157.0,2.06,40.3,2101537.0,0.0,0.0,100.0,1423002.0,674553.0,54.20804977416992
Lebanon,1.94,9135.5,47.3,55.3,0.3,0.0,0.2,0.0,0.0,0.0,0.32,8.23,14820.0,2010,291.5,192.0,1.64,27.1,4995799.0,2.0,4.003363626118665e-07,99.4744110107422,4325709.0,627355.0,49.20974349975586
Lesotho,6.5,995.58,96.7,0.1,3.1,0.0,0.0,0.1,0.0,0.0,0.4,5.09,0.0,2010,291.5,836.0,0.38,20.0,2022752.0,1.0,4.943759788644382e-07,17.0,494863.0,1500712.0,51.39741516113281
Liberia,5.37,648.55,85.9,20.0,1.4,0.0,0.0,0.5,0.1,0.0,0.28,4.09,0.0,2010,291.5,450.0,0.19,17.3,4019958.0,1.0,2.4875881787819673e-07,5.162664413452148,1860575.0,2030782.0,49.93019104003906
Libya,0.1,8870.66,2.7,96.6,0.2,0.0,0.3,0.0,0.0,0.0,0.04,7.31,0.0,2010,291.5,188.0,2.44,24.3,6491991.0,0.0,0.0,81.65022277832031,4837403.0,1360264.0,48.94453048706055
Lithuania,15.25,11106.95,89.8,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.73,12.46,7244.0,2010,291.5,231.0,2.56,40.0,3139021.0,0.0,0.0,100.0,2067653.0,1029629.0,53.96816253662109
Luxembourg,12.98,106544.05,70.4,2.3,26.8,0.0,0.0,0.0,0.3,0.1,0.82,12.84,11025.0,2010,291.5,6.0,2.55,38.0,507075.0,0.0,0.0,100.0,448892.0,58061.0,50.32447814941406
Madagascar,1.87,469.24,85.3,3.0,6.9,0.05,0.0,4.5,0.1,0.0,0.28,4.71,8300.0,2010,291.5,272.92,0.27,17.0,21731052.0,2.0,9.203420064523337e-08,12.300000190734863,6755411.0,14396229.0,50.18686676025391
Malawi,3.21,358.94,82.7,13.0,2.5,0.0,0.0,1.7,0.0,0.0,0.38,3.99,0.0,2010,291.5,542.0,0.33,15.6,14718426.0,0.0,0.0,8.699999809265137,2260037.0,12279572.0,50.795169830322266
Malaysia,1.32,8247.78,9.2,63.2,0.7,6.5,17.7,2.3,0.2,0.0,0.25,9.7,0.0,2010,291.5,786.0,0.35,25.1,28717728.0,1.0,3.4821696201036515e-08,99.37405395507812,20002877.0,8205151.0,48.418487548828125
Maldives,1.65,8521.84,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,4.38,0.0,2010,291.5,8.0,0.37,23.4,361579.0,0.0,0.0,99.1568603515625,133250.0,232480.0,45.67002868652344
Mali,1.09,731.53,3.2,95.0,0.6,0.0,0.0,1.2,0.0,0.0,0.5,1.5,0.0,2010,291.5,272.92,0.13,15.3,15529183.0,34.0,2.189426191963866e-06,26.912050247192383,5417616.0,9631736.0,50.05085372924805
Malta,6.58,20557.65,97.0,0.2,2.5,0.2,0.0,0.0,0.0,0.0,0.67,10.31,2380.0,2010,291.5,3.0,1.52,39.2,418758.0,0.0,0.0,100.0,389936.0,24572.0,50.36704254150391
Mauritania,0.09,1417.05,0.1,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.83,0.0,2010,291.5,419.0,0.18,17.0,3419462.0,2.0,5.848873302291414e-07,33.95951461791992,1627878.0,1866322.0,50.004520416259766
Mauritius,3.81,7817.84,25.3,16.7,0.6,56.4,0.0,0.7,0.3,0.0,0.72,8.32,0.0,2010,291.5,54.0,1.09,31.6,1283347.0,0.0,0.0,99.69000244140624,519604.0,730796.0,50.43258666992188
Mexico,5.21,8878.56,95.1,0.01,4.7,0.0,0.07,0.06,0.02,0.06,0.58,8.01,34356.0,2010,291.5,272.92,0.38,24.9,112532400.0,88.0,7.81997007084182e-07,99.2366943359375,88781438.0,25311523.0,51.069915771484375
Micronesia (country),2.85,3084.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.2,0.0,2010,291.5,5.0,0.81,20.4,107606.0,0.0,0.0,64.5315170288086,22948.0,79968.0,49.23918533325195
