Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate,depression_per_pop
Grenada,9.07,9096.54,96.6,0.3,1.0,0.7,0.0,1.3,0.2,0.0,0.0,8.68,0.0,2015,3578.0,6.0,0.66,28.5,118994.0,0.0,0.0,91.29068756103516,39454.0,70149.0,49.555213928222656,36.0,4.8,0.030068742961830007
Guatemala,2.55,3994.64,95.2,0.0,4.1,0.0,0.0,0.6,0.07,0.0,0.39,5.81,0.0,2015,511212.0,4584.0,1.33,20.1,16001105.0,0.0,0.0,90.52062225341795,7779195.0,7788224.0,50.80734252929688,49.97,5.4,0.03194854355371082
Guinea,1.07,769.26,10.9,84.4,1.8,0.0,0.0,2.7,0.0,0.0,0.16,1.94,0.0,2015,347736.0,1078.0,0.21,16.9,11626003.0,8.0,6.881126729452934e-07,34.745121002197266,4017353.0,7414743.0,52.10879898071289,35.14,11.8,0.02991019355491307
Guinea-Bissau,5.05,603.4,20.0,45.2,4.0,0.0,0.0,28.0,0.0,0.0,0.29,3.38,0.0,2015,55710.0,167.0,0.29,17.3,1788931.0,0.0,0.0,20.05315399169922,731764.0,1005443.0,51.30724334716797,42.12,15.9,0.03114150294225993
Guyana,7.35,5576.83,66.0,6.4,2.0,27.9,0.0,0.2,0.6,0.0,0.39,8.36,0.0,2015,36614.0,173.0,0.23,23.9,755043.0,0.0,0.0,88.00383758544922,202917.0,564516.0,49.99993515014648,26.44,36.4,0.04849260240807477
Haiti,2.69,1386.85,86.9,0.0,10.6,0.0,0.0,2.2,0.3,0.0,0.27,5.25,0.0,2015,362419.0,2221.0,0.35,21.6,10563762.0,0.0,0.0,40.83628463745117,5607351.0,5088189.0,50.63764953613281,52.43,10.0,0.03430775892149028
Honduras,3.49,2286.2,87.6,0.1,10.5,0.0,0.1,1.1,0.6,0.0,0.29,6.29,0.0,2015,237901.0,6249.0,1.49,21.3,9294510.0,0.0,0.0,89.9817123413086,5027133.0,4085771.0,50.07424545288086,55.17,3.4,0.025595862503779113
Hungary,11.6,12720.71,81.0,0.0,18.6,0.0,0.0,0.1,0.0,0.0,0.38,11.85,300813.0,2015,362115.0,159.0,0.44,40.7,9844250.0,0.0,0.0,100.0,6939335.0,2903693.0,52.477481842041016,70.5,15.3,0.03678441729943876
Iceland,8.74,52951.68,95.0,0.2,3.5,0.3,0.4,0.5,0.2,0.0,0.7,13.18,0.0,2015,10673.0,2.0,3.03,35.0,331068.0,0.0,0.0,100.0,309974.0,20841.0,49.82845687866211,93.7,9.2,0.03223809006004809
India,5.54,1605.61,2.3,14.23,0.24,79.8,0.7,0.0,1.04,1.72,0.42,6.25,0.0,2015,46523772.0,52314.0,0.61,25.5,1322866600.0,724.0,5.47296303346082e-07,88.0,429428650.0,880723742.0,48.00426864624024,32.78,13.9,0.035168906675850764
Indonesia,0.6,3331.7,10.53,83.91,3.04,1.69,0.73,0.04,0.02,0.0,0.59,7.91,0.0,2015,6074387.0,11839.0,0.24,28.0,259091970.0,34.0,1.312275328332252e-07,97.53736877441406,137751866.0,120631391.0,49.6357307434082,53.31,3.1,0.02344490645541813
Iran,1.01,4904.33,0.4,96.5,1.5,0.0,0.0,0.0,1.6,0.0,0.19,10.21,0.0,2015,4338028.0,2633.0,3.24,28.9,81790850.0,77.0,9.414255995627873e-07,99.95999908447266,57580314.0,20911894.0,49.38332748413086,73.36,5.3,0.05303805988078129
Iraq,0.37,4688.32,0.8,99.0,0.1,0.0,0.0,0.0,0.06,0.0,0.23,7.82,0.0,2015,1389713.0,5705.0,1.7,18.6,37757812.0,29814.0,0.0007896114319336088,99.34542846679688,24872486.0,10699783.0,49.44449234008789,69.92,6.0,0.03680597276134539
Ireland,12.47,62012.48,85.14,1.32,10.12,0.29,0.2,0.0,0.2,0.05,0.8,11.29,0.0,2015,212502.0,35.0,3.45,35.4,4665764.0,0.0,0.0,100.0,2940510.0,1761447.0,50.50868225097656,62.54,8.7,0.04554495255225082
Israel,3.86,35808.44,2.0,18.6,3.1,0.0,0.3,0.2,0.1,75.6,0.57,12.96,2674.0,2015,363273.0,146.0,0.53,28.8,8007777.0,16.0,1.998057638218447e-06,100.0,7724692.0,655408.0,50.41253280639648,92.18,5.7,0.045365024525533114
Italy,7.59,30242.39,83.3,3.7,12.4,0.1,0.2,0.1,0.1,0.08,0.81,10.31,4874273.0,2015,2649872.0,469.0,0.68,44.4,60232908.0,1.0,1.6602220168416907e-08,100.0,42247229.0,18483353.0,51.47762298583984,69.57,5.1,0.04399375836212324
